nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissoes,ausencia_justificada_comissoes,ausencia_nao_justificada_comissoes,salario_bruto_par,get_gasto_total_par,get_gasto_janeiro_par,get_gasto_fevereiro_par,get_gasto_marco_par,get_gasto_abril_par,get_gasto_maio_par,get_gasto_junho_par,get_gasto_julho_par,get_gasto_agosto_par,get_gasto_setembro_par,get_gasto_outubro_par,get_gasto_novembro_par,get_gasto_dezembro_par,quant_viagens
Vivi Reis,F,05/08/1991,81,11,0,79,18,21,33763.00,364896.71,50505.11,33624.12,47121.22,42779.32,38398.45,36910.98,40803.83,27107.07,21698.14,25660.38,288.09,NaN,1
Tereza Nelma,F,07/10/1957,79,13,0,103,49,36,33763.00,366423.07,42581.54,41297.61,47878.77,54271.73,56885.66,33460.03,30126.11,27479.91,24726.16,3330.45,4385.10,NaN,0
Mara Rocha,F,04/09/1973,77,14,1,30,6,16,33763.00,431336.20,56886.05,57867.30,54199.26,62724.01,46657.40,33841.62,21007.85,23443.28,30345.94,44363.49,0.00,NaN,0
Margarete Coelho,F,12/03/1961,81,10,1,58,9,18,33763.00,379382.14,45113.84,50976.40,52735.60,50764.85,28872.48,40798.70,35963.33,15107.77,13877.11,44057.01,1115.05,NaN,2
Maria do Rosário,F,22/11/1966,77,6,9,48,12,22,33763.00,390396.84,45949.20,43740.41,69986.28,49177.17,42746.98,41192.91,36138.61,26246.21,12312.33,20719.64,2187.10,NaN,0
Maria Rosas,F,01/10/1965,62,0,0,41,0,2,33763.00,187686.02,106936.54,107061.76,110238.71,18825.99,31183.42,39925.50,29239.92,24673.76,27178.62,16458.81,200.00,NaN,0
Marília Arraes,F,12/04/1984,64,21,7,3,5,5,33763.00,287696.14,13902.07,25170.41,93784.61,29683.86,54406.01,14216.62,21165.20,14176.43,9508.71,10398.31,1283.91,NaN,0
Marina Santos,F,13/09/1980,90,2,0,6,1,12,33763.00,357545.02,23811.47,41587.12,38764.57,41760.61,35827.39,43099.71,38934.07,25951.64,26865.00,39929.24,1014.20,NaN,0
Mariana Carvalho,F,26/11/1986,53,4,4,14,4,6,33763.00,203702.64,20869.22,24814.35,47199.17,40425.87,61996.18,1826.39,109667.84,104478.85,105163.12,6249.12,322.34,NaN,1
Natália Bonavides,F,15/06/1988,86,6,0,16,4,15,33763.00,339385.80,31946.09,31413.95,72688.49,54961.85,61905.75,41735.22,31051.52,7935.30,2706.85,2967.78,73.00,NaN,1
Patricia Ferraz,F,09/01/1980,10,0,0,0,0,0,33763.00,61594.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7370.23,52876.43,1348.31,NaN,0
Perpétua Almeida,F,28/12/1964,86,4,2,56,8,27,33763.00,397294.72,40876.75,38531.07,65864.03,66620.97,53571.92,37080.29,43254.26,14245.86,16783.06,19979.66,486.85,NaN,1
Policial Katia Sastre,F,04/04/1976,91,0,1,38,0,19,33763.00,373876.63,34893.09,34694.24,64166.28,35385.20,36339.70,38923.80,34961.86,43018.05,29335.74,22064.62,94.05,NaN,0
Professora Dayane Pimentel,F,30/01/1986,67,17,8,24,13,16,33763.00,221802.92,24757.35,14536.29,33354.13,32630.75,38636.18,25835.19,21096.42,20196.27,4322.45,6205.76,232.13,NaN,0
Rejane Dias,F,04/09/1972,90,0,2,65,0,33,33763.00,241957.13,16913.54,23065.31,34072.61,41316.06,35393.20,27658.11,30276.40,10634.60,10120.33,11597.34,909.63,NaN,0
Professora Rosa Neide,F,08/08/1963,88,3,1,40,4,5,33763.00,369889.43,35689.04,50953.17,66922.03,36747.44,42534.13,32039.17,23335.58,18867.29,10899.48,31367.91,20534.19,NaN,1
Professora Marcivania,F,21/06/1973,91,0,1,34,0,7,33763.00,372925.42,73518.31,24414.79,47486.37,49562.35,28947.17,39390.78,27825.99,17943.62,7350.58,50485.46,6000.00,NaN,0
Professora Dorinha Seabra Rezende,F,01/10/1964,71,0,3,69,3,41,33763.00,244204.17,20187.34,51058.21,42305.79,52041.49,47722.61,22610.88,8277.85,109375.33,111544.35,111545.52,0.00,NaN,0
Elcione Barbalho,F,05/10/1944,74,8,10,11,3,15,33763.00,324749.25,18282.77,21903.47,42172.90,54698.46,50424.42,44680.57,25428.51,30182.96,15955.03,18147.74,2872.42,NaN,0
Fernanda Melchionna,F,02/02/1984,88,1,3,54,0,9,33763.00,305160.05,20500.17,21194.89,56736.14,41442.21,70363.57,28035.03,34736.50,7126.13,2302.50,17867.64,4855.27,NaN,0
Erika Kokay,F,15/08/1957,90,1,1,132,1,16,33763.00,220065.03,21175.36,26961.36,57030.55,8623.76,69810.79,1267.02,375.92,393.19,354.58,33212.46,860.04,NaN,0
Flávia Arruda,F,21/01/1980,60,5,4,0,1,3,33763.00,97678.83,0.00,0.00,0.00,6864.73,10563.71,18634.34,15284.18,16185.53,14441.81,15704.53,0.00,NaN,0
Gleisi Hoffmann,F,06/09/1965,66,26,0,3,1,4,33763.00,373767.14,48759.04,47652.40,59416.08,55375.62,43129.42,20852.42,26211.68,23293.93,17899.82,29734.54,1442.19,NaN,0
Greyce Elias,F,15/12/1981,77,12,3,28,4,18,33763.00,176814.93,14671.44,21074.80,23586.32,35221.54,45590.67,15599.72,12425.68,2786.62,2040.22,3377.12,440.80,NaN,1
Flávia Morais,F,26/04/1969,86,6,0,123,4,0,33763.00,296315.47,31961.04,33702.59,35431.93,33636.11,33829.17,29972.17,26739.93,26234.48,22945.49,21783.99,78.57,NaN,0
Geovania de Sá,F,30/03/1972,91,1,0,15,0,0,33763.00,308059.34,24548.31,31895.95,46155.40,48301.66,38575.18,41038.25,24556.46,10926.74,3937.68,25683.39,12440.32,NaN,0
Iracema Portella,F,23/04/1966,35,4,0,0,0,0,33763.00,160103.58,33126.14,37905.45,54717.25,-799.73,111235.02,111235.02,111235.02,17561.17,8098.80,9441.57,52.93,NaN,0
Jandira Feghali,F,17/05/1957,91,0,1,41,0,28,33763.00,304962.13,16677.60,41606.05,42043.96,41561.42,33766.08,35266.15,30544.63,18967.72,23146.67,20529.15,852.70,NaN,0
Jaqueline Cassol,F,03/12/1974,81,8,3,47,8,15,33763.00,301704.59,38881.19,35836.11,33841.17,57249.08,71115.17,20997.72,21444.70,11534.22,2240.92,7424.00,1140.31,NaN,0
Jéssica Sales,F,28/11/1980,42,45,5,0,16,2,33763.00,372946.86,36557.22,42553.73,47072.55,56770.07,58428.19,3133.62,11486.12,8024.13,2921.23,106000.00,0.00,NaN,0
Lídice da Mata,F,12/03/1956,89,3,0,56,4,0,33763.00,314013.21,24968.53,36055.08,41685.69,36945.93,64741.89,25591.94,29647.64,17038.04,9156.67,25337.58,2844.22,NaN,0
Leda Sadala,F,11/06/1966,72,18,2,24,8,15,33763.00,359497.14,32892.40,30026.99,55796.31,53049.21,51266.85,41748.71,31911.86,37292.55,15145.93,10021.33,345.00,NaN,0
Joenia Wapichana,F,20/04/1973,83,9,0,98,12,15,33763.00,407650.81,36130.43,59868.30,85352.21,48106.28,35824.32,43428.93,39248.21,28261.77,13771.27,16656.80,1002.29,NaN,1
Liziane Bayer,F,24/01/1981,92,0,0,54,1,18,33763.00,432476.73,24410.68,44680.51,52608.27,52869.92,60599.67,33727.59,34144.01,32890.25,31283.06,49719.23,15543.54,NaN,1
Luisa Canziani,F,11/04/1996,82,0,10,18,0,48,33763.00,294512.99,27680.49,45240.66,38296.02,34716.65,40742.27,35801.06,23760.78,18969.09,8973.68,13325.09,7007.20,NaN,0
Joice Hasselmann,F,29/01/1978,87,5,0,57,3,3,33763.00,301731.55,25636.10,21173.13,72944.98,50332.77,44859.38,25702.26,16939.86,18265.67,20711.16,5166.24,0.00,NaN,0
Lauriete,F,23/02/1970,89,3,0,48,2,2,33763.00,275072.63,28596.39,36787.02,28706.65,38112.66,49288.05,30104.05,18543.11,15764.41,15009.24,7961.74,6199.31,NaN,0
Leandre,F,20/12/1975,80,10,2,31,4,23,33763.00,364015.44,30663.14,49384.33,39707.22,42738.34,55109.67,32174.71,34082.73,28823.07,17999.54,31319.22,2013.47,NaN,1
