nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissoes,ausencia_justificada_comissoes,ausencia_nao_justificada_comissoes,salario_bruto_par,get_gasto_total_par,get_gasto_janeiro_par,get_gasto_fevereiro_par,get_gasto_marco_par,get_gasto_abril_par,get_gasto_maio_par,get_gasto_junho_par,get_gasto_julho_par,get_gasto_agosto_par,get_gasto_setembro_par,get_gasto_outubro_par,get_gasto_novembro_par,get_gasto_dezembro_par,quant_viagens
Gustavo Fruet,M,18/04/1963,91,1,0,26,0,1,33763.00,374089.71,51898.88,69808.76,56026.78,68837.63,47334.53,23097.35,16604.91,8174.92,2810.21,29123.81,371.93,NaN,0
Gustinho Ribeiro,M,16/02/1982,76,10,6,9,3,17,33763.00,356515.99,7595.71,72060.11,19440.13,61050.02,53501.99,62592.98,9368.45,5296.21,4189.16,61421.23,0.00,NaN,0
Gutemberg Reis,M,09/09/1979,80,0,12,28,0,19,33763.00,333354.79,31811.03,37058.19,39957.54,35397.82,39003.29,35548.76,35184.90,23289.89,18535.79,35373.06,2194.52,NaN,0
Haroldo Cathedral,M,11/05/1953,37,0,4,0,0,0,33763.00,206440.60,36917.58,38592.67,38415.39,17064.17,111538.36,106037.07,108248.33,17838.49,26371.35,30980.95,260.00,NaN,0
Heitor Freire,M,08/10/1981,79,13,0,21,20,30,33763.00,438893.06,44459.28,22147.14,58578.83,44388.99,47573.98,24699.86,52243.35,24034.75,32084.10,78682.78,10000.00,NaN,1
Helder Salomão,M,08/03/1964,88,3,1,35,9,11,33763.00,288776.51,22858.70,46569.54,43715.68,35739.34,39193.71,25804.13,25901.62,20309.17,15007.85,13093.49,583.28,NaN,1
Heitor Schuch,M,25/03/1962,78,12,2,27,4,4,33763.00,321812.45,17534.05,27229.69,43226.49,47628.10,71235.90,26290.08,28128.15,20506.74,19998.13,18646.87,1388.25,NaN,0
Hélio Leite,M,09/12/1957,86,3,3,26,0,39,33763.00,345255.89,38353.51,33114.24,50848.23,40083.76,82360.81,17710.54,18649.82,15787.41,9334.72,38622.84,390.01,NaN,0
Helio Lopes,M,28/03/1969,85,2,5,11,2,19,33763.00,333128.93,26662.70,20129.73,23968.89,15959.57,126009.87,40424.07,19559.06,19728.52,21207.48,18877.17,601.87,NaN,0
Hélio Costa,M,03/03/1954,86,6,0,41,4,11,33763.00,365514.32,30626.82,25895.84,42089.22,59253.62,53304.15,42968.62,28285.02,47223.51,18135.05,13981.26,3751.21,NaN,0
Hermes Parcianello,M,25/04/1958,76,5,11,0,0,24,33763.00,323233.63,23550.01,91180.85,21686.73,22782.96,98142.11,27564.61,19639.11,9399.11,6442.33,2845.81,0.00,NaN,0
Henrique Fontana,M,18/01/1960,87,3,2,10,2,8,33763.00,243460.56,15878.57,12589.61,38772.48,30692.56,39615.05,29232.23,31433.45,19791.30,9180.71,16274.60,0.00,NaN,0
Hildo Rocha,M,22/04/1960,88,3,1,47,1,12,33763.00,330754.16,37771.29,41668.52,63474.79,41172.58,35711.78,37398.45,27224.54,14043.48,2003.75,29767.50,517.48,NaN,4
Herculano Passos,M,04/08/1956,87,3,2,38,8,4,33763.00,365289.60,64568.22,41807.38,37578.21,27556.28,42217.44,32275.57,29438.11,26350.96,36350.30,26507.24,639.89,NaN,0
